iter	Passed	Remaining
0	1	109
1	2	107
2	3	103
3	4	99
4	5	98
5	6	98
6	7	97
7	8	95
8	9	94
9	10	95
10	12	98
11	13	98
12	14	97
13	15	95
14	16	93
15	17	92
16	18	91
17	19	90
18	20	88
19	21	87
20	23	86
21	24	87
22	26	88
23	27	87
24	28	86
25	29	84
26	30	83
27	31	81
28	33	81
29	34	80
30	35	79
31	36	77
32	38	78
33	41	80
34	42	79
35	44	78
36	45	77
37	46	75
38	47	74
39	48	73
40	49	71
41	51	70
42	53	70
43	54	68
44	55	67
45	56	65
46	57	64
47	58	63
48	59	61
49	60	60
50	61	58
51	62	57
52	63	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	49
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	77	41
65	78	40
66	79	39
67	81	38
68	82	36
69	83	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	92	26
78	93	24
79	94	23
80	95	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	103	14
88	104	12
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
